"","Name","bonica_rid","pct_age_65plus","N"
"419","bonamici, suzanne","cand44313",0.724343391010058,20979
"420","price, david e","cand750",0.723991980396525,4489
"421","filler corn, eileen","cand113271",0.723806252147029,2911
"422","haire, marvin jonathan","cand213158",0.723270440251572,159
"423","schneider, bradley scott","cand41950",0.723167184693034,140276
"424","eppler, sam","cand217984",0.722551032733422,8279
"425","quartey, john quaye ii","cand210922",0.722319201995012,8020
"426","holden, david","cand141094",0.722094361334868,1738
"427","o callaghan, conor","cand218209",0.721973094170404,6244
"428","horn, madison","cand219527",0.721963342652998,6438
"429","cass, jeanette","cand156783",0.721951219512195,205
"430","riebe, kathleen","cand219872",0.721881390593047,489
"431","thompson, mike","cand145356",0.721738435727411,12517
"432","beyer, donald sternoff jr","cand143627",0.72163624333476,25693
"433","kelly, mark","cand159285",0.72134155875257,5052630
"434","leger, teresa","cand148360",0.720341252534527,52278
"435","himes, jim","cand1034",0.720320118719525,18868
"436","smith, quacy l","cand218254",0.72029520295203,1355
"437","phillips staley, effie","cand168281",0.720170454545455,1408
"438","zarbano, john","cand220026",0.719257540603248,1293
"439","hafeez, zeeshan","cand180063",0.719134651249534,2681
"440","russo, allison","cand194936",0.717683557394002,1934
"441","mathis, elizabeth","cand211486",0.717585181797393,21865
"442","harden, r david","cand211792",0.717445328031809,4024
"443","allred, colin","cand140763",0.717272152946024,2157467
"444","kilmer, derek","cand45500",0.716821708575375,24617
"445","dalton, bale","cand175494",0.716735253772291,1458
"446","young, diane","cand180881",0.716216216216216,3626
"447","farnham, elizabeth rhoads","cand219593",0.715827338129496,556
"448","gomez, meri lizet","cand223572",0.715686274509804,102
"449","o dell, linda","cand149915",0.71541057367829,889
"450","perlmutter, edwin g","cand69006945",0.715357921071746,12391
"451","lee, barbara","cand1503",0.715189728828273,131319
"452","merkley, jeffrey alan","cand1596",0.715101540016059,332529
"453","padilla, alex","cand150625",0.714948932219127,85083
"454","bristow, nigel william","cand219170",0.71484375,256
"455","coons, christopher a","cand1601",0.713982720439163,32061
"456","zateslo, nicholas","cand167666",0.713768115942029,276
"457","figures, shomari c","cand218170",0.713442211055276,15920
"458","bohman, rachel","cand219057",0.713359273670558,3084
"459","boysko, jennifer","cand10001698",0.713178294573643,1935
"460","bohannan, christina","cand168387",0.713110970050205,69316
"461","ramirez, lisa d","cand172659",0.713105726872247,1816
"462","morrison, kelly louise","cand182150",0.712999639899172,11108
"463","coover, don","cand172780",0.71280487804878,3280
"464","mckinney, donavan","cand167700",0.712632006498781,19696
"465","turek, joshua","cand171575",0.712608876895061,45579
"466","rocha, joseph c","cand162470",0.712601326455416,9499
"467","doyle, victoria jane boker","cand168240",0.7125,320
"468","lawrence, jacob","cand171494",0.71244635193133,233
"469","garcia, robert","cand157239",0.712368808690849,43448
"470","godlewski, sarah","cand205898",0.711327320850897,40804
"471","maloney, carolyn b","cand13182",0.711085488387416,18213
"472","esty, elizabeth","cand41261",0.710931040185216,6047
"473","jayapal, pramila","cand134942",0.710353322232613,219205
"474","lorenzen, mark","cand219764",0.710144927536232,207
"475","johnson, julie","cand219839",0.710045279221868,11926
"476","varet, esther kim","cand216138",0.709587298074795,36152
"477","arkoosh, valerie","cand132951",0.709416013388532,11353
"478","balint, rebecca becca","cand203817",0.709357193005372,61247
"479","johnson, jacob","cand165007",0.708957139190692,11689
"480","gillen, laura","cand212436",0.708949615713066,58550
"481","matthews, karen","cand174372",0.708939708939709,481
"482","weinkrantz, mark","cand218633",0.708520179372197,223
"483","hewitt, dylan","cand216475",0.708409506398538,2188
"484","hernandez, bob","cand211687",0.708235294117647,425
"485","o connor, daniel jay","cand144166",0.707965681291424,98372
"486","cummings, elijah e","cand1424",0.707818513267166,9874
"487","jacobs, sara","cand142420",0.70775653702483,18204
"488","engel, kirsten","cand210727",0.707442463321388,91811
"489","porter, katherine","cand140557",0.707370902904393,1738091
"490","pinsley, mark","cand171523",0.706992230854606,1802
"491","valdez, donald","cand149859",0.706923682140047,7626
"492","jones, kermit","cand210815",0.705966930265996,30602
"493","pastore, daniel","cand212777",0.705882352941177,2907
"494","schwartz, daniel","cand164971",0.705595026642984,2252
"495","crockett, jasmine","cand69041670",0.7055632026586,385767
"496","tsongas, nicola s","cand1018",0.705501618122977,1545
"497","randall, emily","cand205005",0.705452865064695,21640
"498","brill, david h","cand143960",0.705426356589147,2580
"499","richardson, david","cand123916",0.705215721828169,37502
